240,żółty
74,szwajcarski
61,pleśniowy
54,dziury
49,zółty
47,biały
30,PUSTE
21,dziura
20,gouda
19,dziurawy
16,"z dziurami"
15,zolty
14,mysz
12,jedzenie
8,edamski
7,szynka
6,plesniowy
6,twaróg
5,pleśń
5,żólty
4,kanapka
4,kozi
4,mleko
4,szwajcaria
4,topiony
3,jeść
3,nabiał
2,bialy
2,cheese
2,chleb
2,dobry
2,dziecko
2,francja
2,gołda
2,kalorie
2,oscypek
2,pleśnowy
2,pyszny
2,ser
2,serek
2,smaczny
2,śmierdzi
2,wędzony
1,"bez dziur"
1,białyt
1,było
1,cebula
1,"chyba żartujecie że tu jest tyle pytań"
1,comte
1,czerstwy
1,d
1,"Daleko jeszcze?"
1,deser
1,domek
1,dzióra
1,dziórawiec
1,dzirki
1,dziua
1,dziurawiec
1,dziurki
1,dziuty
1,elementar
1,emantaler
1,fdhfdhfdh
1,francuski
1,francuski]
1,gdf
1,głupi
1,gorgonzola
1,gory
1,grzyb
1,holenderski
1,intymność
1,jedzenia
1,kielbasa
1,kiełbasa
1,klaustrfobia
1,koźle
1,krowa
1,lasagne
1,liście
1,lubie
1,mał←
1,masło
1,mozzarella
1,nabial
1,nic
1,niedobry
1,nóż
1,okrąg
1,Olimp
1,owczy
1,parmezan
1,pizza
1,pl3sniowy
1,plaśniak
1,pleśniow
1,podlaski
1,pomidor
1,potrzeba
1,pyszne
1,radamer
1,"Richard Lion Heart"
1,salami
1,serce
1,serowy
1,słodki
1,słony
1,smaczy
1,smak
1,smród
1,sniadanie
1,spleśniały
1,szajcarski
1,Szatan
1,szwajcar
1,szwajcarski!
1,szwjcarski
1,śniadanie
1,tłusty
1,tost
1,tosty
1,trolololo
1,twarogowy
1,uczynek
1,"w plasterkach"
1,"w ziołach"
1,włoszczowski
1,"z dizurami"
1,"z drziurami"
1,zapach
1,zapiekany
1,zawiesina
1,złóty
1,zółty]
1,zółty3
1,zółŧy
1,żłóty
1,żólłty
1,żółt7y
1,żółtyt
1,żóły
1,żulty
1,żułty
